[2017-08-28 17:31:31.489] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.164] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.176] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.253] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.410] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.411] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.412] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.412] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.495] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.554] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.705] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.762] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:31:32.810] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 17:32:11.478] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.1.2.3@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
